Event,Label,Mean,Std,Skewness,Kurtosis,RMS,Peak,Energy,Zero_Cross,Dominant_Freq,SpectralCentroid,SpectralEntropy,Back_Azimuth,Slowness,Beam_Power,N_Trace,N_Station,Source_Files
20230824_215100-215300,Rockfall,1.0049047090205619e-12,3.045379217871302e-06,-0.02989180608396278,1.3843805965885,3.0453792180375522e-06,1.3557862772720433e-05,1.1168811491091533e-07,265.2,0.9932505624531288,1.1212446175884474,5.894354995664097,2.0,1.3899999999999997,0.5408936202286977,5,5,20230824_215100-215300_R0279.mseed;20230824_215100-215300_R265F.mseed;20230824_215100-215300_R6940.mseed;20230824_215100-215300_R7D17.mseed;20230824_215100-215300_RE5DE.mseed
20230828_184630-184830,Rockfall,8.778828069574148e-12,2.2726153697514764e-06,-0.027667579690948452,1.8288573318364718,2.272615370145033e-06,1.0450964227810248e-05,6.222582372615707e-08,289.4,0.9299225064577952,1.1698351409957717,6.1160424121680546,352.0,0.9499999999999998,0.5104965167143287,5,5,20230828_184630-184830_R0279.mseed;20230828_184630-184830_R265F.mseed;20230828_184630-184830_R6940.mseed;20230828_184630-184830_R7D17.mseed;20230828_184630-184830_RE5DE.mseed
20230828_190810-191010,Rockfall,-4.005974286388823e-12,2.6639279120485956e-06,0.007379942153821674,1.8268755177830145,2.6639279122550243e-06,1.1989823376780724e-05,8.523857366829257e-08,287.8,1.1449045912840596,1.2164066241217326,6.193809943565763,354.0,0.14999999999999997,0.6071674021206361,5,5,20230828_190810-191010_R0279.mseed;20230828_190810-191010_R265F.mseed;20230828_190810-191010_R6940.mseed;20230828_190810-191010_R7D17.mseed;20230828_190810-191010_RE5DE.mseed
20230828_201000-201200,Rockfall,3.859524113270932e-09,0.0001060074906208077,0.036798036177116064,0.5325768022125799,0.00010600749087329547,0.0004013611267853651,0.00013449847033041926,271.2,0.9020523526097672,1.1169406849790628,6.029144137511845,152.0,0.38999999999999996,0.6897166138059367,5,5,20230828_201000-201200_R0279.mseed;20230828_201000-201200_R265F.mseed;20230828_201000-201200_R6940.mseed;20230828_201000-201200_R7D17.mseed;20230828_201000-201200_RE5DE.mseed
20230905_205830-210030,Rockfall,2.787885769973377e-11,3.4184672396591215e-06,-0.0005568420469625329,2.1455472011875827,3.4184672408164815e-06,1.6744627550544324e-05,1.4058634165538839e-07,277.2,1.0432463961336556,1.1876033502997236,6.114942377984894,346.0,0.8899999999999999,0.5875899451960829,5,5,20230905_205830-210030_R0279.mseed;20230905_205830-210030_R265F.mseed;20230905_205830-210030_R6940.mseed;20230905_205830-210030_R7D17.mseed;20230905_205830-210030_RE5DE.mseed
20230824_202800-203000,Rockfall,7.955956054344736e-12,2.5717088907453747e-06,-0.020594182207087645,0.7676524236981063,2.5717088911686862e-06,1.0341338911598756e-05,7.943662717055622e-08,260.2,0.9182568119323389,1.0852684311765763,5.834097151550043,358.0,1.2099999999999997,0.6633311980197052,5,5,20230824_202800-203000_R0279.mseed;20230824_202800-203000_R265F.mseed;20230824_202800-203000_R6940.mseed;20230824_202800-203000_R7D17.mseed;20230824_202800-203000_RE5DE.mseed
20230905_203900-204100,Rockfall,-2.3663694300215425e-11,2.489233351417916e-06,-0.015941945371016418,0.03450058190554621,2.4892333517967283e-06,8.378075497653668e-06,7.447499857574423e-08,268.8,0.9015915340388301,1.0959803675625372,5.9241536877647745,344.0,0.26999999999999996,0.49464912150680346,5,5,20230905_203900-204100_R0279.mseed;20230905_203900-204100_R265F.mseed;20230905_203900-204100_R6940.mseed;20230905_203900-204100_R7D17.mseed;20230905_203900-204100_RE5DE.mseed
20230901_010100-010300,Rockfall,2.484421284438458e-11,2.8683795156940993e-06,-0.0011327769777033502,0.17966274951850644,2.8683795158657696e-06,1.057303268996324e-05,9.905006426910763e-08,309.8,1.1549037580201649,1.2669980596499006,6.327987088822246,146.0,0.10999999999999999,0.4320752562824489,5,5,20230901_010100-010300_R0279.mseed;20230901_010100-010300_R265F.mseed;20230901_010100-010300_R6940.mseed;20230901_010100-010300_R7D17.mseed;20230901_010100-010300_RE5DE.mseed
20230825_153140-153340,Rockfall,9.929986459300643e-12,2.5495764800195782e-06,-0.002314437753600376,0.7528747698249494,2.5495764802903035e-06,9.851929910167828e-06,7.85779436451144e-08,280.6,0.918256811932339,1.155400289466328,6.132118769312187,356.0,1.2699999999999998,0.6082637178457951,5,5,20230825_153140-153340_R0279.mseed;20230825_153140-153340_R265F.mseed;20230825_153140-153340_R6940.mseed;20230825_153140-153340_R7D17.mseed;20230825_153140-153340_RE5DE.mseed
20230816_000100-000300,Rockfall,2.320185839476501e-11,2.614287395456064e-06,-0.0036715122069194664,0.23110429909535193,2.6142873956528924e-06,9.335412844478553e-06,8.208569780664563e-08,308.3333333333333,1.0277178290697997,1.2472490283911686,6.344670562263964,70.0,0.18999999999999997,0.6358378090690127,3,3,20230816_000100-000300_R0279.mseed;20230816_000100-000300_R6940.mseed;20230816_000100-000300_RE5DE.mseed
